Data Medicao,INSOLACAO TOTAL; DIARIO(h),PRECIPITACAO TOTAL; DIARIO(mm),TEMPERATURA MEDIA COMPENSADA; DIARIA(°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA(%),VENTO; VELOCIDADE MEDIA DIARIA(m/s),has_Foco
20/09,5.7,0.5,22.98,65.5,1.7,0
21/09,7.6,0.0,22.5,67.0,1.166667,0
22/09,9.0,0.0,23.84,60.5,0.933333,0
23/09,10.1,0.0,25.5,60.75,0.933333,0
24/09,10.0,0.0,25.0,47.75,0.933333,0
25/09,8.4,0.0,25.04,53.75,0.766667,0
26/09,6.3,0.0,24.38,63.5,1.9,0
27/09,6.4,0.0,24.72,60.25,1.5,0
28/09,3.9,0.0,24.44,63.25,1.833333,0
29/09,7.6,0.0,24.8,59.0,2.233333,0
30/09,9.3,0.0,24.86,52.75,1.366667,0
01/10,7.1,0.0,23.84,56.0,1.133333,0
02/10,6.6,0.0,24.48,55.75,1.066667,0
03/10,8.0,0.0,24.68,53.25,2.433333,0
04/10,7.2,0.0,24.92,56.0,1.666667,0
05/10,9.1,0.0,26.64,50.5,1.033333,0
06/10,10.0,0.0,27.54,51.5,2.066667,0
07/10,8.8,0.0,25.74,54.0,1.533333,0
08/10,6.4,0.0,24.92,57.75,2.066667,0
09/10,8.4,0.0,24.62,57.25,2.566667,0
10/10,0.6,0.0,21.88,66.25,2.766667,0
11/10,6.0,0.2,23.74,57.75,2.8,0
12/10,5.1,0.3,22.7,62.75,2.1,0
13/10,2.4,0.1,22.08,74.5,1.333333,0
14/10,11.0,0.0,24.56,57.75,2.4,0
15/10,6.0,1.9,24.22,65.5,1.233333,0
16/10,4.8,0.5,24.04,67.5,2.3666669999999996,0
17/10,6.0,0.7,24.44,66.75,1.7333330000000002,0
18/10,6.4,0.0,24.86,59.0,1.5,0
19/10,3.1,0.0,24.68,74.0,1.2,0
20/10,1.3,5.6,24.12,71.25,1.233333,0
21/10,3.0,2.4,25.1,64.75,1.2,0
22/10,6.2,0.0,24.5,59.0,1.5,0
23/10,8.9,0.0,25.48,52.5,2.4,0
24/10,5.0,0.0,24.92,54.5,2.4,0
25/10,11.5,0.0,24.62,59.25,1.9333330000000002,1
26/10,10.1,0.0,26.14,45.75,2.833333,0
27/10,11.6,0.0,25.62,45.0,1.9333330000000002,0
28/10,9.3,0.0,28.06,43.0,1.7,0
29/10,5.5,0.0,26.6,52.5,1.7,0
30/10,8.5,0.0,26.44,55.5,3.0,0
31/10,5.8,0.0,26.88,50.75,2.233333,0
01/11,7.5,0.0,26.66,52.25,2.066667,0
02/11,5.0,1.5,23.78,69.5,1.1,0
03/11,6.5,3.0,22.92,67.0,2.333333,0
04/11,9.4,2.6,24.0,60.5,1.1,0
05/11,4.7,0.3,23.9,77.75,1.2,0
06/11,5.6,0.0,25.1,64.5,1.633333,0
07/11,5.5,0.8,25.26,59.75,1.8,0
08/11,7.6,0.1,25.46,55.75,1.233333,0
09/11,6.5,0.0,26.72,53.25,1.4,0
10/11,4.4,1.2,25.1,64.0,1.266667,0
11/11,5.8,0.0,25.36,60.5,1.4,0
12/11,6.7,0.0,25.8,60.25,1.266667,0
13/11,6.3,0.0,26.94,55.5,1.6,0
14/11,8.3,0.0,26.04,52.75,3.066667,0
15/11,2.3,0.0,23.6,68.0,1.433333,0
16/11,8.6,4.2,24.26,59.0,1.7333330000000002,0
17/11,11.7,0.0,24.42,47.25,1.9,0
18/11,6.6,0.0,24.54,55.0,2.333333,0
19/11,8.9,0.0,25.22,62.0,2.233333,0
20/11,7.6,1.9,24.92,53.0,1.833333,0
21/11,11.8,0.0,25.84,50.25,1.7,0
22/11,11.6,0.0,26.24,50.75,1.433333,0
23/11,9.4,0.0,26.32,60.5,1.266667,0
24/11,5.0,6.1,24.88,65.5,3.5,0
25/11,6.6,0.7,25.06,60.25,2.3666669999999996,0
26/11,1.1,2.4,24.36,69.25,0.833333,0
27/11,1.4,22.5,23.4,79.75,1.9333330000000002,0
28/11,0.1,11.3,22.24,95.5,1.4,0
29/11,0.7,6.2,22.62,93.5,1.166667,0
30/11,8.5,12.8,24.38,69.25,1.566667,0
01/12,10.0,0.0,25.08,59.25,1.566667,0
02/12,9.8,0.0,26.12,60.5,1.466667,0
03/12,8.0,0.0,26.98,63.25,1.166667,0
04/12,6.9,0.0,28.3,59.25,1.366667,0
05/12,5.1,0.0,25.94,74.25,1.566667,0
06/12,6.2,5.8,25.82,69.25,1.4,0
07/12,3.3,0.0,25.94,66.25,1.9333330000000002,0
08/12,3.9,0.2,24.42,77.5,1.5,0
09/12,5.5,0.4,25.66,66.75,1.166667,0
10/12,8.1,0.0,26.04,59.5,1.366667,0
11/12,10.0,0.0,27.0,58.25,1.7666669999999998,0
12/12,5.9,0.8,25.9,77.5,2.333333,0
13/12,2.1,11.0,25.12,78.25,0.633333,0
14/12,2.9,16.1,23.66,86.25,0.766667,0
15/12,2.0,0.8,24.06,84.5,1.133333,0
16/12,0.7,15.4,23.56,85.0,1.3,0
17/12,0.2,11.2,22.42,90.5,1.4,0
18/12,0.0,17.4,22.88,80.25,3.233333,0
19/12,1.9,0.1,23.24,85.25,1.466667,0
20/12,0.1,10.2,22.56,94.5,1.3,0
21/12,0.3,17.5,22.28,95.75,0.533333,0
22/12,0.0,60.8,21.84,93.5,0.566667,0
23/12,3.7,15.4,23.24,91.5,0.9,0
24/12,1.9,11.3,22.28,88.0,1.266667,0
25/12,6.5,0.1,23.92,79.0,1.7,0
26/12,5.0,0.0,25.16,71.25,1.3,0
27/12,3.1,0.0,23.34,86.75,1.666667,0
28/12,1.7,17.1,23.18,90.75,1.9,0
29/12,11.0,16.8,24.64,71.0,1.466667,0
30/12,9.5,0.0,24.5,72.5,1.166667,0
31/12,8.3,0.0,23.52,74.5,1.4,0
01/01,7.9,0.0,23.86,69.25,1.1,0
02/01,9.2,0.0,24.86,63.25,1.333333,0
03/01,9.3,0.0,24.58,62.0,1.6,0
04/01,10.1,0.1,26.2,58.5,1.3,0
05/01,9.4,0.1,24.8,65.0,1.166667,0
06/01,10.5,0.1,24.36,59.25,1.9666669999999997,0
07/01,9.4,0.2,25.12,63.25,1.7,0
08/01,10.7,0.0,25.16,60.5,1.466667,0
09/01,4.5,0.1,24.2,70.75,1.233333,0
10/01,8.2,2.3,25.12,67.0,1.1,0
11/01,3.5,1.2,24.2,78.25,1.666667,0
12/01,3.5,3.7,23.8,83.75,1.533333,0
13/01,7.0,1.4,24.84,70.5,1.566667,0
14/01,8.2,0.0,24.98,64.0,1.9333330000000002,0
15/01,4.7,0.0,24.3,75.75,1.3,0
16/01,7.1,0.1,24.68,73.25,1.4,0
17/01,7.2,0.0,24.86,66.5,1.7,0
18/01,4.3,0.0,25.48,66.0,2.266667,0
19/01,6.2,0.0,25.68,68.25,1.7,0
20/01,6.9,0.0,25.4,71.75,1.7,0
21/01,4.2,0.1,25.14,69.75,1.5,0
22/01,5.6,1.4,24.76,74.25,1.266667,0
23/01,5.9,0.0,25.66,65.5,1.1,0
24/01,9.9,0.0,24.26,64.5,1.7666669999999998,0
25/01,7.5,0.0,24.86,71.0,1.0,0
26/01,7.8,0.0,24.56,64.0,1.5,0
27/01,7.6,0.0,24.1,79.5,2.233333,0
28/01,6.4,6.8,24.0,70.0,2.0333330000000003,0
29/01,5.7,0.3,24.14,72.75,2.666667,0
30/01,8.5,2.7,24.4,75.5,2.333333,0
31/01,7.8,0.4,24.6,68.25,2.733333,0
01/02,2.1,5.6,21.94,85.5,0.833333,0
02/02,10.7,0.2,24.36,68.0,1.566667,0
03/02,9.7,0.0,25.32,63.0,1.9666669999999997,0
04/02,7.0,0.0,22.76,81.5,1.7,0
05/02,7.0,12.9,22.62,86.25,1.466667,0
06/02,4.1,4.1,21.76,90.0,1.333333,0
07/02,2.8,2.6,22.34,89.0,1.366667,0
08/02,6.8,3.5,23.42,79.75,1.266667,0
09/02,9.9,0.5,25.14,64.75,1.7,0
10/02,6.3,0.0,24.36,69.0,1.7,0
11/02,7.5,0.0,25.16,65.0,1.9666669999999997,0
12/02,7.1,6.0,24.24,71.75,1.0,0
13/02,9.3,0.0,25.38,61.5,1.166667,0
14/02,8.2,0.0,25.9,64.25,0.666667,0
15/02,6.6,0.5,25.48,64.25,1.233333,0
16/02,6.1,4.5,23.96,72.25,0.8,0
17/02,11.1,1.2,25.7,62.25,1.566667,0
18/02,6.8,0.0,25.5,62.75,0.966667,0
19/02,2.4,0.7,24.58,72.25,1.066667,0
20/02,5.4,3.1,24.04,77.25,1.366667,0
21/02,2.8,25.8,23.64,80.75,0.866667,0
22/02,7.1,0.2,24.86,70.25,1.166667,0
23/02,6.9,0.0,23.78,81.5,2.233333,0
24/02,5.3,21.9,23.24,83.5,1.266667,0
25/02,4.6,0.5,23.16,85.25,1.433333,0
26/02,4.2,0.8,23.72,79.5,1.3,0
27/02,1.2,0.5,23.48,75.5,1.2,0
28/02,2.1,0.0,23.94,79.0,0.533333,0
01/03,4.9,0.5,22.68,84.25,0.966667,0
02/03,2.7,89.9,23.16,83.75,1.133333,0
03/03,9.4,0.0,25.08,68.25,2.0,0
04/03,3.8,5.2,23.3,87.75,1.566667,0
05/03,6.1,9.0,23.4,80.5,2.233333,0
06/03,10.2,0.0,23.94,75.25,0.833333,0
07/03,8.8,0.0,24.88,69.5,1.166667,0
08/03,6.4,0.0,24.84,72.75,1.566667,0
09/03,7.2,0.0,24.98,73.25,1.533333,0
10/03,7.9,0.0,25.86,65.25,1.9,0
11/03,8.4,1.3,23.78,75.75,1.233333,0
12/03,7.3,0.0,24.92,66.75,1.833333,0
13/03,7.3,0.0,25.78,63.75,2.5,0
14/03,4.8,0.0,23.34,84.0,1.7333330000000002,0
15/03,5.7,2.6,22.74,84.25,1.9333330000000002,0
16/03,6.0,14.8,23.42,79.75,1.266667,0
17/03,8.0,0.0,24.38,72.75,1.533333,0
18/03,6.8,0.0,24.98,74.5,1.133333,0
19/03,5.1,4.4,23.08,85.0,0.566667,0
20/03,6.9,0.5,24.52,75.25,0.866667,0
21/03,8.6,0.8,24.92,75.75,1.266667,0
22/03,8.0,0.4,26.02,70.0,0.733333,0
23/03,7.6,0.2,25.44,73.0,1.133333,0
24/03,7.4,0.0,25.52,68.5,1.7,0
25/03,5.6,2.6,24.54,79.5,1.3,0
26/03,8.0,0.1,25.52,69.0,1.2,0
27/03,2.8,0.0,24.26,85.0,1.3,0
28/03,5.1,7.6,24.2,78.0,1.3,0
29/03,7.2,2.1,24.22,79.75,2.0,0
30/03,1.9,3.1,22.78,86.5,1.266667,0
31/03,6.8,1.8,24.96,75.75,0.833333,0
01/04,10.7,1.1,25.44,72.25,1.9666669999999997,0
02/04,6.7,0.0,25.24,72.5,1.9333330000000002,0
03/04,6.0,0.0,24.72,71.5,1.1,0
04/04,8.1,0.0,26.18,68.0,1.166667,0
05/04,8.5,0.0,26.28,69.25,1.5,0
06/04,3.1,1.3,24.66,81.75,1.8,0
07/04,5.1,20.5,24.42,82.5,1.4,0
08/04,4.9,7.9,24.08,82.25,1.1,0
09/04,3.6,0.0,25.0,84.5,1.066667,0
10/04,7.1,20.7,25.62,72.0,1.9333330000000002,0
11/04,7.8,7.1,24.48,80.0,1.2,0
12/04,10.6,0.0,24.26,72.0,1.233333,0
13/04,7.4,0.4,24.76,73.5,0.6,0
14/04,7.4,0.3,24.86,77.5,1.066667,0
15/04,8.4,0.3,25.36,68.75,1.7,0
16/04,10.2,0.0,23.68,69.5,1.466667,0
17/04,9.6,0.0,23.82,67.75,1.1,0
18/04,7.7,0.0,25.48,67.5,1.666667,0
19/04,10.0,0.0,25.98,66.5,1.566667,0
20/04,7.9,0.0,24.28,66.5,0.766667,0
21/04,9.1,0.0,24.4,64.5,1.266667,0
22/04,9.2,0.0,24.28,65.25,1.266667,0
23/04,9.0,0.0,24.2,64.75,0.733333,0
24/04,6.3,0.0,24.5,71.75,1.133333,0
25/04,8.0,0.0,25.94,68.5,0.833333,0
26/04,2.1,0.3,24.16,79.0,0.43333299999999997,0
27/04,0.0,31.4,21.86,90.0,2.0,0
28/04,7.9,0.3,21.8,80.5,1.566667,0
29/04,2.7,0.0,21.16,74.75,2.5,0
30/04,5.6,0.0,21.56,74.25,2.1,0
01/05,1.4,0.0,22.18,82.0,1.0,0
02/05,10.0,0.2,24.9,64.5,1.0,0
03/05,0.9,0.0,22.78,80.0,1.233333,0
04/05,5.1,0.4,22.44,81.25,1.0,0
05/05,5.8,0.0,22.5,74.25,1.466667,0
06/05,7.4,0.0,23.38,71.75,2.233333,0
07/05,2.4,3.7,22.02,93.0,2.1333330000000004,0
08/05,7.2,12.7,22.7,80.5,1.9666669999999997,0
09/05,9.0,0.6,24.68,73.75,0.966667,0
10/05,5.5,0.2,24.28,75.25,1.7,0
11/05,0.5,4.4,21.64,91.0,1.2,0
12/05,1.6,0.1,20.32,81.0,1.7666669999999998,0
13/05,9.7,0.0,20.98,73.25,1.233333,0
14/05,9.9,0.0,21.34,73.5,1.0,0
15/05,4.0,0.0,23.26,77.25,0.966667,0
16/05,3.9,4.0,23.5,88.25,1.266667,0
17/05,4.5,7.2,22.72,88.0,1.466667,0
18/05,2.9,8.3,21.82,85.75,1.433333,0
19/05,4.7,0.0,22.44,80.5,1.3,0
20/05,8.2,0.0,23.34,76.5,1.333333,0
21/05,3.9,0.0,21.72,86.25,1.6,0
22/05,8.3,0.5,23.46,77.25,1.4,0
23/05,6.1,0.0,24.26,80.0,1.0,0
24/05,7.4,0.0,25.18,74.25,1.266667,0
25/05,7.9,1.7,24.62,79.75,1.1,0
26/05,7.0,0.0,24.96,79.75,0.833333,0
27/05,8.4,0.0,23.5,74.25,1.1,0
28/05,7.8,0.0,22.14,76.25,1.433333,0
29/05,4.1,0.0,22.08,79.75,0.833333,0
30/05,6.2,0.8,22.82,79.75,1.666667,0
31/05,3.3,7.3,20.64,85.25,2.0333330000000003,0
01/06,10.2,0.0,23.06,78.0,0.733333,0
02/06,6.0,0.1,21.12,81.75,0.6,0
03/06,8.8,0.0,22.76,75.75,0.833333,0
04/06,7.3,0.0,23.16,75.0,1.7666669999999998,0
05/06,5.9,0.0,22.46,76.0,1.566667,0
06/06,9.1,0.0,23.28,76.25,1.266667,0
07/06,8.8,0.0,22.06,76.25,1.066667,0
08/06,10.0,0.0,22.12,72.25,1.7666669999999998,0
09/06,6.4,0.0,21.62,91.0,2.2,0
10/06,5.0,1.3,22.18,87.75,2.3666669999999996,0
11/06,8.0,0.5,22.64,82.0,3.733333,0
12/06,9.0,0.0,23.62,82.0,2.9,0
13/06,4.4,0.8,21.6,91.5,1.566667,0
14/06,3.7,9.9,21.22,89.25,0.6,0
15/06,6.3,2.7,20.96,94.0,1.2,0
16/06,3.1,0.3,21.22,93.0,1.566667,0
17/06,6.0,1.0,22.1,80.0,2.433333,0
18/06,8.0,0.8,20.84,77.0,1.4,0
19/06,8.8,0.0,21.06,80.5,1.7333330000000002,0
20/06,7.8,0.0,21.6,76.0,1.7666669999999998,0
21/06,7.0,0.1,21.66,75.0,2.5,0
22/06,7.1,0.0,21.0,87.0,3.766667,0
23/06,4.3,8.8,20.58,86.0,1.666667,0
24/06,8.5,0.1,19.68,89.0,1.833333,0
25/06,6.3,0.0,21.2,85.0,0.9,0
26/06,3.9,0.0,21.34,82.0,1.433333,0
27/06,4.0,0.0,21.38,85.5,1.233333,0
28/06,6.7,0.2,21.86,88.5,1.566667,0
29/06,3.6,0.3,21.56,90.25,1.666667,0
30/06,6.0,1.6,21.34,81.75,1.633333,0
01/07,6.7,0.0,21.76,76.25,1.066667,0
02/07,8.6,0.0,21.78,71.5,1.4,0
03/07,10.2,0.0,23.06,66.0,1.9666669999999997,0
04/07,8.9,0.0,22.12,65.5,1.533333,0
05/07,2.1,0.0,19.68,84.25,1.333333,0
06/07,2.4,2.8,19.76,94.25,1.533333,0
07/07,4.1,6.5,19.62,88.0,1.9333330000000002,0
08/07,2.1,0.6,19.96,96.0,1.8,0
09/07,10.0,0.5,21.72,73.25,1.7,0
10/07,9.0,0.0,22.18,70.25,2.1333330000000004,0
11/07,6.7,0.0,21.74,73.75,1.066667,0
12/07,10.3,0.0,21.8,81.25,1.166667,0
13/07,6.7,0.3,22.74,68.75,1.7,0
14/07,0.9,0.0,20.84,76.0,3.2,0
15/07,3.3,0.0,21.42,75.75,2.7,0
16/07,5.7,3.7,20.74,75.5,2.3666669999999996,0
17/07,8.7,0.5,22.64,70.5,1.566667,0
18/07,9.9,0.4,21.3,72.0,1.266667,0
19/07,5.7,0.0,21.88,76.5,1.4,0
20/07,7.8,0.0,23.04,72.0,1.466667,0
21/07,9.9,0.0,22.62,71.25,2.433333,0
22/07,3.0,0.0,20.9,80.5,2.7,0
23/07,2.7,0.0,21.42,77.0,1.8,0
24/07,3.4,0.5,20.22,79.0,1.566667,0
25/07,2.6,0.2,21.82,83.75,1.3,0
26/07,6.7,0.0,22.08,71.0,1.833333,0
27/07,5.5,0.2,23.04,67.5,1.533333,0
28/07,0.8,8.1,19.74,90.75,1.466667,0
29/07,6.3,2.2,21.82,72.0,2.333333,0
30/07,3.9,0.0,20.78,77.0,2.766667,0
31/07,0.0,0.0,19.84,83.25,1.466667,0
01/08,5.0,1.8,20.64,81.25,1.1,0
02/08,7.1,0.0,21.4,84.25,1.1,0
03/08,6.1,0.0,21.86,76.25,0.733333,0
04/08,7.7,0.0,22.36,76.25,1.566667,0
05/08,8.4,0.0,24.14,62.5,1.233333,0
06/08,2.4,1.0,19.36,95.5,1.7,0
07/08,7.0,2.6,20.38,73.0,2.3666669999999996,0
08/08,10.3,0.0,21.42,68.0,2.5,0
09/08,6.2,0.0,21.0,66.0,2.5,0
10/08,5.9,0.0,21.0,78.25,1.466667,0
11/08,4.2,0.0,20.22,75.25,2.4,0
12/08,9.8,0.0,21.4,67.5,1.8,0
13/08,10.1,0.0,22.24,66.75,0.933333,0
14/08,7.2,0.1,22.18,70.5,1.9666669999999997,0
15/08,3.0,0.4,21.18,67.0,2.666667,0
16/08,10.2,0.0,22.38,49.25,4.1666669999999995,0
17/08,4.5,4.1,21.86,59.5,2.433333,0
18/08,4.3,0.1,21.2,74.0,2.1,0
19/08,10.1,0.5,22.54,68.0,1.9333330000000002,0
20/08,7.0,4.5,22.32,70.5,1.7,0
21/08,3.9,0.0,21.4,77.75,1.7333330000000002,0
22/08,9.1,0.1,21.24,68.25,1.466667,0
23/08,9.7,0.4,22.56,83.75,1.266667,0
24/08,5.7,0.0,20.3,74.25,2.0,0
25/08,5.2,0.0,21.82,69.25,1.233333,0
26/08,5.9,0.0,22.04,67.0,1.8666669999999999,0
27/08,6.9,0.0,22.72,66.25,1.333333,0
28/08,8.9,0.0,23.7,68.25,1.533333,0
29/08,9.2,0.0,24.56,76.25,2.433333,0
30/08,8.8,0.0,24.18,63.75,1.9333330000000002,0
31/08,6.8,0.0,23.2,69.0,1.0,0
01/09,10.4,0.0,24.02,60.25,1.0,0
02/09,10.7,0.0,25.5,51.0,1.0,0
03/09,7.1,0.0,25.06,55.5,1.133333,0
04/09,6.8,0.0,26.06,57.5,1.8,0
05/09,0.0,2.7,20.62,91.5,2.333333,0
06/09,7.5,2.9,20.08,64.5,1.5,0
07/09,6.9,0.0,21.08,62.25,1.666667,0
08/09,10.3,0.0,21.98,72.25,2.066667,0
09/09,10.4,0.2,23.42,59.75,2.766667,0
10/09,4.4,0.0,21.82,72.25,2.233333,0
11/09,8.5,4.4,21.82,67.5,1.8,0
12/09,2.9,0.0,22.72,71.25,2.3666669999999996,0
13/09,6.3,0.2,23.5,57.75,2.766667,0
14/09,7.3,0.0,23.74,54.5,3.266667,0
15/09,10.7,0.0,23.02,55.0,1.266667,0
16/09,8.7,0.0,23.16,57.75,1.133333,0
17/09,8.8,0.0,25.06,56.5,1.8,0
18/09,10.6,0.0,23.32,56.25,2.0,0
19/09,8.6,0.0,22.92,60.25,1.466667,0
20/09,8.0,0.0,24.44,57.75,1.45,0
21/09,8.6,0.0,26.32,55.5,1.133333,0
22/09,9.6,0.0,26.92,58.5,2.066667,0
23/09,0.7,0.2,21.7,84.75,2.433333,0
24/09,1.1,6.7,20.8,91.75,1.0,0
25/09,6.3,0.9,23.3,84.0,1.433333,0
26/09,2.9,1.2,22.38,74.5,0.366667,0
27/09,4.9,0.0,22.22,73.75,1.433333,0
28/09,6.7,0.0,25.02,66.25,1.9333330000000002,0
29/09,8.0,0.0,24.58,63.75,1.166667,0
30/09,9.1,0.0,25.78,59.75,1.233333,0
01/10,6.1,0.0,24.24,69.75,1.3,0
02/10,5.2,0.0,24.94,58.75,1.566667,0
03/10,3.3,0.0,23.02,69.5,0.966667,0
04/10,1.8,0.0,21.94,77.25,2.1,0
05/10,10.2,0.0,22.3,64.75,2.3666669999999996,0
06/10,10.3,0.0,22.54,62.5,2.233333,0
07/10,7.3,0.0,22.62,64.0,2.5,0
08/10,10.0,0.0,23.94,64.5,1.566667,0
09/10,6.3,0.4,23.76,68.5,2.066667,0
10/10,7.9,0.0,24.52,58.75,2.233333,0
11/10,8.0,0.0,25.28,53.5,3.766667,0
12/10,8.2,0.0,24.36,68.75,1.566667,0
13/10,9.1,0.6,24.68,60.75,2.233333,0
14/10,10.5,0.0,25.38,54.5,0.833333,0
15/10,8.6,0.0,25.4,53.0,1.4,0
16/10,10.7,0.0,24.72,57.0,2.666667,0
17/10,7.2,0.0,25.08,61.5,1.9,0
18/10,3.8,0.0,24.4,70.75,2.1333330000000004,0
19/10,8.0,0.0,26.5,69.5,1.333333,0
20/10,5.7,0.0,26.92,62.75,1.633333,0
21/10,5.8,0.0,26.24,59.25,2.1,0
22/10,9.6,0.0,25.86,54.75,2.0,0
23/10,8.0,0.0,25.32,60.0,2.733333,0
24/10,11.1,0.0,24.44,59.75,1.7333330000000002,0
25/10,11.3,0.0,25.86,75.25,1.066667,0
26/10,9.5,0.5,26.48,50.5,1.9666669999999997,0
27/10,5.3,0.0,26.44,60.25,1.366667,0
28/10,7.0,0.4,26.5,61.25,1.6,0
29/10,2.4,37.1,22.88,84.5,1.266667,0
30/10,2.6,43.7,22.78,82.0,1.0,0
31/10,8.1,0.0,24.4,66.0,2.733333,0
01/11,8.3,0.0,25.4,57.5,2.233333,0
02/11,5.1,0.0,24.44,68.25,2.3666669999999996,0
03/11,4.2,1.8,23.9,69.25,1.9333330000000002,0
04/11,8.2,1.1,24.68,64.25,1.7666669999999998,0
05/11,8.0,0.0,25.96,68.75,1.833333,0
06/11,0.4,0.2,23.44,78.0,1.233333,0
07/11,8.4,0.0,25.96,65.0,1.7333330000000002,0
08/11,6.2,0.0,25.06,61.5,1.566667,0
09/11,6.7,0.0,25.44,79.75,1.3,0
10/11,5.1,0.0,25.92,70.25,2.566667,0
11/11,6.5,34.9,24.36,76.25,1.9,0
12/11,2.4,34.2,24.74,79.0,1.366667,0
13/11,2.5,0.5,23.6,86.0,1.166667,0
14/11,1.2,3.3,23.66,88.25,1.333333,0
15/11,3.8,19.5,23.82,91.75,0.9,0
16/11,2.1,25.5,22.32,90.75,0.333333,0
17/11,1.0,67.9,20.86,95.0,1.833333,0
18/11,0.0,10.8,19.14,93.75,1.233333,0
19/11,0.0,6.7,21.06,85.5,1.133333,0
20/11,3.4,1.2,21.84,88.0,1.066667,0
21/11,4.0,10.9,22.7,88.25,1.466667,0
22/11,6.7,18.3,23.94,78.0,1.3,0
23/11,8.6,2.8,23.56,75.25,1.0,0
24/11,6.0,0.0,23.52,79.25,0.833333,0
25/11,4.7,0.0,22.94,78.5,1.366667,0
26/11,5.1,0.0,22.92,76.75,1.666667,0
27/11,5.8,0.0,23.64,79.5,1.066667,0
28/11,6.0,0.0,24.4,72.75,1.533333,0
29/11,6.3,0.0,23.58,74.0,2.766667,0
30/11,10.4,0.0,23.96,68.0,2.233333,0
01/12,8.9,0.0,24.58,69.25,2.233333,0
02/12,1.6,0.0,22.68,80.0,1.7,0
03/12,8.5,0.2,24.02,74.5,1.533333,0
04/12,9.6,1.6,23.58,71.5,1.666667,0
05/12,6.0,0.0,23.46,77.0,1.9,0
06/12,6.3,0.0,24.96,71.5,1.666667,1
07/12,0.9,0.3,,93.75,1.1,0
08/12,3.2,8.4,23.1,85.25,1.7,0
09/12,4.7,0.0,24.2,78.0,1.4,0
10/12,1.2,1.9,22.1,87.25,1.066667,0
11/12,4.7,3.3,22.94,83.5,1.566667,0
12/12,6.6,0.5,24.56,73.0,2.233333,0
13/12,2.1,4.9,23.66,78.0,1.366667,0
14/12,1.0,1.0,23.04,81.5,1.3,0
15/12,2.2,4.8,23.28,84.0,1.6,0
16/12,5.5,3.5,23.6,88.0,1.233333,0
17/12,3.2,79.9,22.98,86.25,0.966667,0
18/12,0.1,1.0,22.92,91.25,1.533333,0
19/12,2.9,15.6,23.28,86.75,2.066667,0
20/12,3.2,19.3,23.08,86.0,1.5,0
21/12,2.8,2.6,22.82,85.0,0.866667,0
22/12,5.3,0.0,23.4,81.75,1.3,0
23/12,9.3,0.3,24.34,80.25,1.466667,0
24/12,8.2,0.4,23.98,80.25,0.8,0
25/12,7.2,0.3,24.64,79.25,1.833333,0
26/12,2.7,1.6,22.28,93.5,1.7,0
27/12,5.7,1.6,23.2,80.5,1.466667,0
28/12,8.3,0.6,24.18,78.0,1.133333,0
29/12,7.7,0.0,24.24,78.5,1.666667,0
30/12,6.4,0.0,23.86,78.25,1.3,0
31/12,10.1,0.0,24.36,71.75,1.133333,0
01/01,9.3,0.0,24.12,74.25,1.0,0
02/01,10.0,0.0,25.06,70.75,1.4,0
03/01,7.6,0.0,23.88,73.25,2.233333,0
04/01,9.2,0.0,23.96,69.75,1.466667,0
05/01,8.6,0.0,24.44,73.0,1.233333,0
06/01,8.0,0.0,25.06,73.5,1.833333,0
07/01,7.5,0.0,23.96,82.5,2.666667,0
08/01,10.8,1.6,24.74,71.25,2.5,0
09/01,4.5,1.0,23.04,84.0,1.8,0
10/01,6.5,0.3,23.74,74.0,2.2,0
11/01,6.8,0.3,24.82,76.5,1.833333,0
12/01,10.8,0.0,25.24,68.75,2.766667,0
13/01,6.5,0.0,24.4,73.25,1.8,0
14/01,9.3,0.0,23.84,70.5,2.1,0
15/01,9.0,0.0,25.12,69.5,1.3,0
16/01,8.0,0.0,24.6,72.75,1.233333,0
17/01,7.2,0.0,24.92,73.75,0.966667,0
18/01,9.5,0.0,25.4,69.5,1.566667,0
19/01,11.2,0.0,25.0,71.0,0.966667,1
20/01,10.7,0.0,24.92,67.0,1.433333,1
21/01,6.7,0.0,25.14,68.75,1.7,1
22/01,7.2,0.0,25.76,67.25,2.1,0
23/01,8.5,0.0,26.0,66.0,1.7,0
24/01,10.9,0.0,25.58,63.25,1.5,0
25/01,7.2,0.0,24.82,74.75,2.233333,0
26/01,5.0,0.0,24.74,74.0,1.266667,0
27/01,7.2,0.3,25.3,73.5,1.133333,0
28/01,9.5,0.0,25.58,65.0,2.166667,0
29/01,10.9,0.0,25.12,63.0,1.7333330000000002,0
30/01,9.4,0.0,25.12,62.0,1.5,0
31/01,2.8,0.0,24.62,76.75,1.2,0
01/02,7.6,0.0,25.68,77.5,0.833333,0
02/02,8.7,0.0,25.9,78.25,1.9666669999999997,0
03/02,4.8,0.0,25.48,80.75,0.9,0
04/02,4.9,0.0,25.34,76.25,0.466667,0
05/02,2.5,24.4,23.94,85.25,1.433333,0
06/02,1.3,14.0,22.08,91.5,1.233333,0
07/02,2.2,37.8,23.48,85.0,0.833333,0
08/02,4.6,13.0,23.22,90.5,0.6,0
09/02,8.4,0.0,24.36,86.25,1.266667,0
10/02,10.8,0.0,24.76,85.25,1.1,0
11/02,10.4,0.2,25.24,75.0,1.1,0
12/02,11.0,0.0,25.34,80.5,0.666667,0
